"Programme : Code";"Programme : Libellé";"Programme : Description";"Programme : Commentaire";"Programme : Etat";"Programme : Date de création";"Programme : Date de mise à jour";"Lieu : Identifiant";"Lieu : Mnémonique";"Lieu : Libellé";"Lieu : Etat";"Lieu : Date de mise à jour";"Programme : Moratoire";"Programme : Code SANDRE : Import";"Programme : Libellé SANDRE : Import";"Programme : Code SANDRE : Export";"Programme : Libellé SANDRE : Export";"Programme : Droit : Personne : Responsable : NOM Prénom : Liste";"Programme : Droit : Personne : Saisisseur : NOM Prénom : Liste";"Programme : Droit : Personne : Consultation Intégrale : NOM Prénom : Liste";"Programme : Droit : Personne : Consultation : NOM Prénom : Liste";"Programme : Droit : Personne : Valideur : NOM Prénom : Liste";"Programme : Droit : Service : Responsable : Code Libellé : Liste";"Programme : Droit : Service : Saisisseur : Code Libellé : Liste";"Programme : Droit : Service : Consultation Intégrale : Code Libellé : Liste";"Programme : Droit : Service : Consultation : Code Libellé : Liste";"Programme : Droit : Service : Valideur : Code Libellé : Liste"
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014995";"153-L-008";"Tromelin - T3 - Plage TRO1 (plage_100m)";"Actif";"23/10/2024";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013014";"152-L-042";"Grande Glorieuse - T4 - GLO2 Nord (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013010";"156-L-011";"Europa - T3 - Formosan (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013015";"153-L-005";"Tromelin - T1 - Plage TRO1 (plage_100m)";"Actif";"05/09/2024";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013013";"152-L-041";"Grande Glorieuse - T3 - GLO2 Est (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013011";"152-L-039";"Grande Glorieuse - T1 - GLO1 Ouest (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013008";"156-L-009";"Europa - T1 - Baie des Congres (plage_100m)";"Actif";"01/08/2022";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014499";"153-L-007";"Tromelin - T4 - Plage TRO1 (plage_100m)";"Actif";"05/09/2024";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014496";"154-L-011";"Juan de Nova - T2 - JDN4 (plage_100m)";"Actif";"03/10/2023";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014495";"154-L-010";"Juan de Nova - T1 - JDN4 (plage_100m)";"Actif";"03/10/2023";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013016";"153-L-006";"Tromelin - T2 - Plage TRO2 (plage_100m)";"Actif";"05/09/2024";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014498";"154-L-013";"Juan de Nova - T4 - JDN3 (plage_100m)";"Actif";"03/10/2023";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60014497";"154-L-012";"Juan de Nova - T3 - JDN3 (plage_100m)";"Actif";"03/10/2023";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013009";"156-L-010";"Europa - T2 - Sentier sud (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"DECHETS_PLAGES_EPARSES";"Programme de surveillance des déchets sur les plages des îles Eparses";"Suivis opérés sur les îles Eparses (Tromelin, Glorieuses, Europa et Juan de Nova) par les TAAF suite à étude préfiguratrice MICMAC (CEDRE, ...)";"";"Actif";"29/09/2023";"04/12/2025";"60013012";"152-L-040";"Grande Glorieuse - T2 - GLO2 Champ de tir (plage_100m)";"Actif";"14/09/2021";"Oui";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"2400000004";"Programme de surveillance des déchets sur les plages des îles Eparses";"DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LEMARIE Judith";"ANDRE Silvere|DURAND Gaetane|GAUTHIER Emilie|LACROIX Camille|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith";"";"";"";"CEDRE - CEDRE - Centre de documentation, de recherche et d'expérimentations sur les pollutions accidentelles des eaux - Brest|TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";""
"GCRMN_EPARSES_BELT_POISSONS";"GCRMN îles Eparses - Suivi Belt des poissons";"Surveillance de la diversité et de l'abondance des poissons sur les récifs coralliens - protocole Belt expert - Iles Eparses";"Anciens responsables de programme : Priscilla DUPONT (CUFR_MAYOTTE) et Floran HOARAU (TAAFs) jusqu'en 2022. Depuis 2022 : coordination par Caroline KURZROCK et Alexis CUVILLIER (TAAFs). MAJ 31/07/2023 : Responsable de programme - suppression Alexis CUVILLIER et Joanna KOLASINSKI - Fait par DOI";"Actif";"29/03/2016";"21/11/2025";"60015238";"152-P-083";"GEYSER 037 (Pente externe) - ORC2";"Actif";"12/02/2025";"Oui";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"BIGOT Lionel|DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"CROCHELET Estelle|DURAND Gaetane|GAUTHIER Emilie|JAC Cyrielle|LAMOUREUX Alice|LEMARIE Judith|QUAGLIETTI Sebastien";"BISSERY Claire|BRUN Melanie|DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith|SOUDANT Dominique";"BISSERY Claire|KERNINON Fanny";"";"";"ECOMAR - ECOMAR - Laboratoire d'Ecologie Marine - Université de La Réunion|GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion|GIPRNMR - GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion|IRDREU - IRD - Institut pour la Recherche et le Développement - Antenne Réunion|PDG-DGDS-ODE-COAST-VIGIES - Ifremer, Service Valorisation de l'Information pour la Gestion Intégrée et la Surveillance (VIGIES), F-44000 Nantes, France|PDG-DGDS-RBE-DOI - Ifremer - DOI - Délégation Océan Indien - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";"GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion"
"GCRMN_EPARSES_BELT_POISSONS";"GCRMN îles Eparses - Suivi Belt des poissons";"Surveillance de la diversité et de l'abondance des poissons sur les récifs coralliens - protocole Belt expert - Iles Eparses";"Anciens responsables de programme : Priscilla DUPONT (CUFR_MAYOTTE) et Floran HOARAU (TAAFs) jusqu'en 2022. Depuis 2022 : coordination par Caroline KURZROCK et Alexis CUVILLIER (TAAFs). MAJ 31/07/2023 : Responsable de programme - suppression Alexis CUVILLIER et Joanna KOLASINSKI - Fait par DOI";"Actif";"29/03/2016";"21/11/2025";"60009052";"152-P-065";"GEYSER 023 (Platier)";"Actif";"18/03/2022";"Oui";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"BIGOT Lionel|DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"CROCHELET Estelle|DURAND Gaetane|GAUTHIER Emilie|JAC Cyrielle|LAMOUREUX Alice|LEMARIE Judith|QUAGLIETTI Sebastien";"BISSERY Claire|BRUN Melanie|DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith|SOUDANT Dominique";"BISSERY Claire|KERNINON Fanny";"";"";"ECOMAR - ECOMAR - Laboratoire d'Ecologie Marine - Université de La Réunion|GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion|GIPRNMR - GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion|IRDREU - IRD - Institut pour la Recherche et le Développement - Antenne Réunion|PDG-DGDS-ODE-COAST-VIGIES - Ifremer, Service Valorisation de l'Information pour la Gestion Intégrée et la Surveillance (VIGIES), F-44000 Nantes, France|PDG-DGDS-RBE-DOI - Ifremer - DOI - Délégation Océan Indien - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";"GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion"
"GCRMN_EPARSES_BELT_POISSONS";"GCRMN îles Eparses - Suivi Belt des poissons";"Surveillance de la diversité et de l'abondance des poissons sur les récifs coralliens - protocole Belt expert - Iles Eparses";"Anciens responsables de programme : Priscilla DUPONT (CUFR_MAYOTTE) et Floran HOARAU (TAAFs) jusqu'en 2022. Depuis 2022 : coordination par Caroline KURZROCK et Alexis CUVILLIER (TAAFs). MAJ 31/07/2023 : Responsable de programme - suppression Alexis CUVILLIER et Joanna KOLASINSKI - Fait par DOI";"Actif";"29/03/2016";"21/11/2025";"60009051";"152-P-064";"GEYSER 022 (Pente externe)";"Actif";"18/03/2022";"Oui";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"2400000000";"Réseau GCRMN de suivi Belt des poissons - îles Eparses";"BIGOT Lionel|DUVAL Magali|KURZROCK Caroline|LELABOUSSE Clement|MAUREL Laurence";"CROCHELET Estelle|DURAND Gaetane|GAUTHIER Emilie|JAC Cyrielle|LAMOUREUX Alice|LEMARIE Judith|QUAGLIETTI Sebastien";"BISSERY Claire|BRUN Melanie|DURAND Gaetane|GAUTHIER Emilie|LAMOUREUX Alice|LE ROUX Alois|LEMARIE Judith|SOUDANT Dominique";"BISSERY Claire|KERNINON Fanny";"";"";"ECOMAR - ECOMAR - Laboratoire d'Ecologie Marine - Université de La Réunion|GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion|GIPRNMR - GIPRNMR - Groupement d'Intérêt Public - Réserve Nationale Marine de la Réunion|IRDREU - IRD - Institut pour la Recherche et le Développement - Antenne Réunion|PDG-DGDS-ODE-COAST-VIGIES - Ifremer, Service Valorisation de l'Information pour la Gestion Intégrée et la Surveillance (VIGIES), F-44000 Nantes, France|PDG-DGDS-RBE-DOI - Ifremer - DOI - Délégation Océan Indien - La Réunion";"TAAF - TAAFs - Terres australes et antarctiques francaises - La Réunion";"";"GIE-MAREX - Bureau d'études GIE-MAREX - La Réunion"
